texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:101:48:101:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:101:52:101:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:101:57:101:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:102:47:102:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:102:48:102:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:102:52:102:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:102:56:102:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:103:47:103:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:103:48:103:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:103:52:103:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:103:57:103:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:104:47:104:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:104:48:104:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:104:52:104:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:104:56:104:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:105:47:105:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:105:48:105:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:105:52:105:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:105:57:105:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:106:47:106:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:106:48:106:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:106:52:106:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:106:57:106:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:107:47:107:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:107:48:107:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:107:52:107:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:107:56:107:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:108:47:108:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:108:48:108:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:108:52:108:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:108:57:108:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:109:47:109:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:109:49:109:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:109:52:109:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:109:56:109:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:110:47:110:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:110:49:110:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:110:52:110:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:110:57:110:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:29:114:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:34:114:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:37:114:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:38:114:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:42:114:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:114:67:114:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:29:115:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:33:115:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:37:115:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:38:115:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:42:115:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:115:67:115:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:117:29:117:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:117:34:117:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:117:37:117:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:117:38:117:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:117:42:117:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:29:118:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:33:118:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:37:118:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:38:118:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:42:118:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:118:67:118:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:120:29:120:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:120:34:120:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:120:37:120:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:120:38:120:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:120:42:120:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:29:121:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:33:121:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:37:121:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:38:121:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:42:121:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:121:68:121:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:29:123:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:34:123:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:37:123:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:38:123:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:42:123:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:123:70:123:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:29:124:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:33:124:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:37:124:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:38:124:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:42:124:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:124:67:124:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:126:29:126:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:126:34:126:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:126:37:126:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:126:38:126:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:126:42:126:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:29:127:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:33:127:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:37:127:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:38:127:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:42:127:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:127:68:127:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:29:129:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:34:129:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:37:129:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:38:129:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:42:129:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:129:70:129:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:29:130:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:33:130:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:37:130:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:38:130:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:42:130:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:130:67:130:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:132:29:132:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:132:34:132:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:132:37:132:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:132:38:132:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:132:42:132:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:29:133:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:33:133:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:37:133:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:38:133:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:42:133:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:133:67:133:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:135:29:135:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:135:34:135:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:135:37:135:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:135:38:135:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:135:42:135:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:29:136:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:33:136:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:37:136:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:38:136:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:42:136:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:136:68:136:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:29:138:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:34:138:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:37:138:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:38:138:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:42:138:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:138:70:138:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:29:139:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:33:139:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:37:139:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:38:139:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:42:139:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:139:67:139:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:141:29:141:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:141:34:141:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:141:37:141:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:141:38:141:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:141:42:141:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:29:142:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:33:142:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:37:142:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:38:142:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:42:142:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:142:68:142:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:29:144:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:34:144:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:37:144:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:39:144:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:42:144:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:144:70:144:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:29:145:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:33:145:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:37:145:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:39:145:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:42:145:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:145:67:145:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:147:29:147:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:147:34:147:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:147:37:147:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:147:39:147:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:147:42:147:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:29:148:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:33:148:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:37:148:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:39:148:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:42:148:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:148:68:148:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:156:42:156:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:156:43:156:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:159:44:159:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:159:49:159:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:160:44:160:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:160:48:160:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:178:49:178:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:178:50:178:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:216:58:216:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:216:59:216:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:220:18:220:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:220:28:220:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.transposing.code.tex:229:52:229:68: w202 deprecated control sequences
