texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:174:53:174:53: e304 unexpected parameter number
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:434:1:434:297: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:435:1:435:2722: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:436:1:436:1688: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:437:1:437:299: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:438:1:438:2729: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:444:1:444:3279: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:445:1:445:3279: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:446:1:446:3279: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:447:1:447:3279: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:448:1:448:3279: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:454:1:454:1803: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:455:1:455:1195: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:456:1:456:1195: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:457:1:457:12423: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:458:1:458:9141: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:464:1:464:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:465:1:465:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:471:1:471:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:472:1:472:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:473:1:473:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:479:1:479:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:480:1:480:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:481:1:481:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:482:1:482:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:488:1:488:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:489:1:489:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:490:1:490:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:491:1:491:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:492:1:492:3282: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:498:1:498:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:499:1:499:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:500:1:500:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:501:1:501:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:502:1:502:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:503:1:503:3281: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:509:1:509:2789: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:510:1:510:2825: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:511:1:511:2823: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:512:1:512:2825: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:513:1:513:2785: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:514:1:514:2821: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:515:1:515:2820: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:521:1:521:7718: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:522:1:522:7584: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:528:1:528:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:529:1:529:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:530:1:530:2856: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:531:1:531:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:532:1:532:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:533:1:533:2856: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:534:1:534:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:535:1:535:2855: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:536:1:536:2856: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:542:21:542:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:542:34:542:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:542:35:542:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:550:1:550:3707: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:556:1:556:4128: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:562:1:562:3147: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:568:1:568:2850: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:571:41:571:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:576:1:576:4798: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:582:1:582:2248: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:588:1:588:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:589:1:589:3320: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:590:1:590:1419: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:591:1:591:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:592:1:592:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:593:1:593:2181: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:594:1:594:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:595:1:595:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:596:1:596:1376: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:597:1:597:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:598:1:598:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:599:1:599:1242: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:600:1:600:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:601:1:601:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:602:1:602:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:603:1:603:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:604:1:604:1310: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:605:1:605:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:606:1:606:792: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:607:1:607:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:608:1:608:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:609:1:609:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:610:1:610:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:611:1:611:707: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:612:1:612:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:613:1:613:4708: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:619:1:619:6325: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:620:1:620:2224: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:621:1:621:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:622:1:622:1132: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:623:1:623:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:624:1:624:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:625:1:625:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:626:1:626:707: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:627:1:627:848: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:627:11:627:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:627:27:627:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:628:1:628:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:629:1:629:2406: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:630:1:630:3794: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:636:1:636:1644: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:637:1:637:2515: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:638:1:638:1927: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:639:1:639:1309: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:640:1:640:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:641:1:641:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:642:1:642:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:643:1:643:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:644:1:644:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:645:1:645:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:646:1:646:975: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:647:1:647:975: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:648:1:648:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:649:1:649:774: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:650:1:650:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:651:1:651:3856: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:652:1:652:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:653:1:653:3392: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:659:1:659:2247: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:660:1:660:774: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:661:1:661:1376: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:662:1:662:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:663:1:663:2047: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:664:1:664:1266: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:665:1:665:1443: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:666:1:666:1376: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:667:1:667:1309: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:668:1:668:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:669:1:669:1109: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:670:1:670:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:671:1:671:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:672:1:672:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:673:1:673:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:674:1:674:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:675:1:675:1042: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:676:1:676:640: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:677:1:677:819: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:677:11:677:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:677:27:677:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:678:1:678:532: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:678:11:678:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:678:27:678:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:679:1:679:666: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:679:11:679:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:679:27:679:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:680:1:680:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:681:1:681:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:682:1:682:2113: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:683:1:683:1980: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:684:1:684:2296: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:690:1:690:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:691:1:691:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:692:1:692:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:693:1:693:3727: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:694:1:694:1735: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:695:1:695:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:696:1:696:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:697:1:697:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:698:1:698:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:699:1:699:908: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:700:1:700:1042: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:701:1:701:1109: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:702:1:702:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:703:1:703:640: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:704:1:704:640: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:705:1:705:439: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:706:1:706:439: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:707:1:707:4780: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:713:1:713:2918: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:714:1:714:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:715:1:715:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:716:1:716:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:717:1:717:3119: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:718:1:718:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:719:1:719:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:720:1:720:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:721:1:721:505: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:722:1:722:706: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:723:1:723:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:724:1:724:7125: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:730:1:730:3611: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:731:1:731:2448: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:732:1:732:2315: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:733:1:733:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:734:1:734:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:735:1:735:1376: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:736:1:736:1511: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:737:1:737:1261: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:738:1:738:1109: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:739:1:739:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:740:1:740:908: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:741:1:741:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:742:1:742:908: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:743:1:743:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:744:1:744:1309: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:745:1:745:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:746:1:746:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:747:1:747:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:748:1:748:1108: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:749:1:749:975: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:750:1:750:774: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:751:1:751:1042: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:752:1:752:975: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:753:1:753:841: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:754:1:754:927: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:755:1:755:859: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:756:1:756:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:757:1:757:4708: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:763:1:763:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:764:1:764:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:765:1:765:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:766:1:766:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:767:1:767:1175: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:768:1:768:974: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:769:1:769:840: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:770:1:770:1041: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:771:1:771:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:772:1:772:572: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:773:1:773:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:774:1:774:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:775:1:775:907: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:776:1:776:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:777:1:777:639: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:778:1:778:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:779:1:779:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:780:1:780:773: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:781:1:781:505: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:782:1:782:2564: s103 line too long
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:808:16:808:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:815:54:815:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:815:55:815:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:818:12:818:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:818:13:818:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:824:42:824:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:840:10:840:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:840:11:840:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:845:42:845:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:848:10:848:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:848:12:848:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:853:42:853:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:858:42:858:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:861:10:861:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:861:11:861:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:866:42:866:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:869:10:869:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:869:12:869:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:874:42:874:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:879:42:879:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:882:10:882:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:882:11:882:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:887:42:887:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:892:23:892:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:892:34:892:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:893:12:893:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:893:46:893:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:893:73:893:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:893:74:893:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:894:12:894:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:894:35:894:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:906:55:906:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:906:56:906:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:908:55:908:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:908:56:908:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:910:55:910:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:910:56:910:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:912:55:912:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:912:56:912:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:921:23:921:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:921:34:921:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:922:12:922:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:922:42:922:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:923:12:923:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:923:64:923:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:935:55:935:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:935:56:935:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:937:55:937:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:937:56:937:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:944:9:944:25: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:947:54:947:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:949:27:949:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:949:38:949:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:950:16:950:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:950:41:950:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:951:16:951:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:951:73:951:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:959:35:959:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:965:23:965:39: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:970:27:970:43: w202 deprecated control sequences
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:973:72:973:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:979:44:979:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/mahjonggame/mahjonggame.sty:981:31:981:47: w202 deprecated control sequences
