texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:460:52:460:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:460:53:460:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:38:461:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:44:461:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:45:461:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:51:461:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:52:461:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:461:55:461:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:23:466:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:32:466:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:33:466:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:37:466:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:54:466:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:62:466:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:63:466:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:67:466:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:466:69:466:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:467:23:467:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:467:28:467:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:468:10:468:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:468:34:468:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:468:39:468:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:470:23:470:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:470:28:470:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:471:10:471:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:471:34:471:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:471:39:471:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:473:23:473:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:473:26:473:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:477:38:477:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:477:54:477:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:478:38:478:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:478:54:478:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:480:27:480:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:480:41:480:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:480:42:480:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:481:49:481:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:481:52:481:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:481:53:481:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:481:54:481:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:484:10:484:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:484:17:484:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:492:68:492:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:492:72:492:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:495:1:495:81: s103 line too long
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:495:75:495:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:495:79:495:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:502:12:502:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:502:14:502:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:507:62:507:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:511:67:511:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:511:71:511:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:513:36:513:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:513:40:513:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:516:21:516:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:516:68:516:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:520:36:520:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:520:40:520:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:529:52:529:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:529:59:529:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:533:18:533:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:533:45:533:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:535:20:535:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:535:52:535:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:537:24:537:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:537:51:537:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:540:28:540:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:540:58:540:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:542:24:542:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:542:54:542:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:543:23:543:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:544:22:544:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:544:53:544:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:554:20:554:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:554:52:554:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:555:39:555:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:556:46:556:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:556:77:556:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:558:48:558:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:558:75:558:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:559:46:559:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:559:73:559:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:561:23:561:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:561:53:561:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:563:40:563:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:563:45:563:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:569:40:569:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:569:43:569:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:575:65:575:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:575:73:575:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:588:27:588:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:588:47:588:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:590:28:590:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:590:53:590:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:591:26:591:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:591:51:591:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:593:23:593:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:593:50:593:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:595:27:595:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:595:54:595:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:596:28:596:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:596:55:596:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:597:27:597:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:597:73:597:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:599:26:599:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:599:49:599:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:600:24:600:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:600:47:600:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:602:22:602:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:605:17:605:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:606:22:606:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:608:38:608:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:608:68:608:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:609:38:609:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:609:65:609:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:610:38:610:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:610:63:610:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:613:23:613:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:613:49:613:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:616:23:616:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:616:55:616:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:619:23:619:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:619:54:619:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:622:23:622:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:622:51:622:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:628:47:628:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:628:55:628:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:629:47:629:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:629:54:629:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:631:35:631:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:631:36:631:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:631:38:631:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:635:23:635:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:637:16:637:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:637:27:637:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:637:52:637:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:662:20:662:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:662:46:662:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:674:42:674:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:674:50:674:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:675:42:675:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:675:49:675:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:676:19:676:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:685:25:685:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:685:35:685:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:685:38:685:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:685:50:685:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:698:36:698:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:698:39:698:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:698:41:698:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:701:40:701:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:701:43:701:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:701:45:701:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:707:16:707:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:707:21:707:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:708:15:708:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:708:16:708:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:708:22:708:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:709:16:709:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:709:22:709:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:710:15:710:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:710:16:710:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:710:23:710:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:711:16:711:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:711:21:711:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:712:15:712:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:712:16:712:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:712:22:712:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:713:16:713:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:713:21:713:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:714:16:714:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:714:25:714:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:715:16:715:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:715:22:715:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:716:15:716:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:716:16:716:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:716:20:716:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:717:15:717:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:717:16:717:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:717:21:717:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:718:16:718:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:718:20:718:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:722:27:722:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:722:34:722:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:729:23:729:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:729:33:729:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:732:11:732:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:732:24:732:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:738:18:738:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:738:28:738:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:746:47:746:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:746:52:746:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:748:25:748:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:748:35:748:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:748:38:748:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:748:56:748:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:749:47:749:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:749:52:749:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:764:57:764:73: w202 deprecated control sequences
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:765:41:765:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/leadsheets/leadsheets.library.songs.code.tex:765:46:765:46: s204 missing stylistic whitespaces
