texmf-dist/tex/latex/codedescribe/codedescribe.sty:1381:9:1381:64: t422 using a variable of an incompatible type
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:58:756:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:61:756:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:69:756:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:70:756:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:71:756:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:87:756:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:88:756:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:89:756:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:756:132:756:132: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:1:791:136: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:48:791:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:58:791:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:61:791:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:68:791:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:69:791:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:70:791:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:86:791:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:87:791:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:88:791:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:791:136:791:136: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:800:1:800:101: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:802:1:802:95: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:804:1:804:94: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:812:1:812:101: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:814:1:814:95: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:816:1:816:94: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:1:835:83: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:47:835:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:57:835:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:60:835:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:66:835:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:67:835:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:68:835:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:835:83:835:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:847:1:847:85: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:854:1:854:99: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:854:74:854:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:854:94:854:94: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:860:1:860:84: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:867:1:867:98: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:867:73:867:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:867:93:867:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:873:1:873:83: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:892:1:892:85: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:892:57:892:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:892:67:892:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:892:70:892:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:892:78:892:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:973:20:973:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:973:42:973:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:997:57:997:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:997:59:997:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1100:1:1100:87: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1282:71:1282:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1283:1:1283:90: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1283:76:1283:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1283:88:1283:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1293:34:1293:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1293:38:1293:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1293:46:1293:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1293:79:1293:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1294:34:1294:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1294:38:1294:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1294:46:1294:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1294:50:1294:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1295:34:1295:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1295:37:1295:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1295:46:1295:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1295:50:1295:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:1:1296:83: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:34:1296:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:38:1296:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:46:1296:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:50:1296:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:56:1296:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:65:1296:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1296:79:1296:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1298:34:1298:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1298:38:1298:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1298:46:1298:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1298:74:1298:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:34:1299:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:38:1299:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:46:1299:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:50:1299:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:56:1299:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1299:60:1299:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:34:1300:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:39:1300:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:46:1300:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:50:1300:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:56:1300:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1300:61:1300:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1302:34:1302:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1302:38:1302:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1302:46:1302:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1302:79:1302:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:1:1303:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:34:1303:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:38:1303:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:46:1303:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:50:1303:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:56:1303:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:65:1303:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:66:1303:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:67:1303:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:78:1303:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:79:1303:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1303:80:1303:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:1:1304:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:34:1304:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:38:1304:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:46:1304:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:50:1304:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:56:1304:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:65:1304:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:66:1304:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:67:1304:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:78:1304:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:79:1304:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1304:80:1304:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:1:1305:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:34:1305:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:38:1305:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:46:1305:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:50:1305:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:56:1305:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:65:1305:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:66:1305:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:67:1305:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:78:1305:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:79:1305:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1305:80:1305:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1307:34:1307:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1307:38:1307:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1307:46:1307:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1307:79:1307:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1308:34:1308:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1308:38:1308:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1308:46:1308:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1308:50:1308:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1309:34:1309:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1309:39:1309:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1309:46:1309:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1309:50:1309:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1310:34:1310:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1310:42:1310:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1310:46:1310:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1310:50:1310:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1312:34:1312:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1312:40:1312:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1312:46:1312:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1312:76:1312:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1313:34:1313:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1313:40:1313:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1313:46:1313:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1313:52:1313:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1315:1:1315:82: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1315:34:1315:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1315:38:1315:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1315:46:1315:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1315:82:1315:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1316:34:1316:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1316:40:1316:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1316:46:1316:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1316:50:1316:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1317:34:1317:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1317:37:1317:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1317:46:1317:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1317:50:1317:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1318:34:1318:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1318:38:1318:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1318:46:1318:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1318:50:1318:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1320:1:1320:84: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1320:34:1320:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1320:40:1320:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1320:46:1320:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1320:84:1320:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1321:34:1321:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1321:39:1321:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1321:46:1321:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1321:52:1321:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1322:34:1322:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1322:40:1322:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1322:46:1322:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1322:52:1322:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1324:34:1324:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1324:40:1324:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1324:46:1324:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1324:77:1324:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1325:34:1325:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1325:40:1325:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1325:46:1325:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1325:52:1325:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1327:34:1327:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1327:44:1327:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1327:45:1327:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1327:46:1327:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1327:80:1327:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:34:1328:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:44:1328:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:45:1328:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:46:1328:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:56:1328:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1328:57:1328:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1330:1:1330:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1330:34:1330:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1330:37:1330:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1330:46:1330:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1330:81:1330:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1331:34:1331:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1331:37:1331:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1331:46:1331:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1331:49:1331:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1333:1:1333:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1333:34:1333:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1333:37:1333:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1333:46:1333:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1333:81:1333:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1334:34:1334:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1334:37:1334:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1334:46:1334:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1334:49:1334:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1335:34:1335:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1335:38:1335:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1335:46:1335:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1335:49:1335:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1338:43:1338:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1339:43:1339:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1339:44:1339:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1340:43:1340:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1340:44:1340:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1346:59:1346:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1373:1:1373:92: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1374:43:1374:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1374:63:1374:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1382:1:1382:82: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1384:1:1384:94: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1386:1:1386:97: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1386:95:1386:95: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1387:1:1387:104: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1387:102:1387:102: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1402:1:1402:81: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1408:68:1408:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1415:52:1415:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1415:54:1415:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1419:1:1419:96: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:1:1440:91: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:34:1440:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:38:1440:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:44:1440:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:62:1440:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1440:91:1440:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:1:1441:89: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:34:1441:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:38:1441:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:44:1441:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:62:1441:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1441:89:1441:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:1:1442:89: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:34:1442:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:40:1442:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:44:1442:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:62:1442:88: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1442:89:1442:89: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1443:1:1443:89: s103 line too long
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1443:34:1443:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/codedescribe/codedescribe.sty:1443:37:1443:37: s204 missing stylistic whitespaces
