texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:61:182:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:182:62:182:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:183:6:183:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:184:65:184:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:189:34:189:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:189:37:189:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:189:38:189:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:190:41:190:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:190:45:190:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:191:48:191:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:192:34:192:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:193:24:193:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:194:44:194:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:195:28:195:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:196:6:196:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:197:53:197:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:200:6:200:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/lwarp/lwarp-mathtools.sty:200:17:200:17: s204 missing stylistic whitespaces
