texmf-dist/tex/latex/nwejm/nwejmart.cls:465:37:465:37: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:467:59:467:59: e300 unexpected function call argument
texmf-dist/tex/latex/nwejm/nwejmart.cls:24:1:24:13: w101 unexpected delimiters
texmf-dist/tex/latex/nwejm/nwejmart.cls:383:30:383:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:400:15:400:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:400:39:400:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:400:40:400:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:400:42:400:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:400:43:400:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:405:4:405:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:406:4:406:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:407:4:407:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:410:4:410:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:413:5:413:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:414:13:414:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:415:5:415:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:418:12:418:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:418:25:418:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:418:26:418:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:418:27:418:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:1:419:102: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:17:419:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:18:419:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:55:419:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:57:419:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:58:419:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:59:419:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:62:419:98: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:99:419:99: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:101:419:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:419:102:419:102: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:422:18:422:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:422:35:422:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:422:36:422:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:422:37:422:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:422:67:422:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:456:25:456:44: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:457:25:457:45: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:458:25:458:44: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:462:57:462:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:464:16:464:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:464:24:464:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:465:3:465:22: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:466:16:466:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:466:17:466:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:467:5:467:24: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:473:26:473:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:476:32:476:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:478:6:478:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:479:7:479:26: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:479:42:479:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:479:52:479:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:480:6:480:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:21:481:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:22:481:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:29:481:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:30:481:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:31:481:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:42:481:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:481:43:481:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:503:1:503:82: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:513:30:513:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:513:56:513:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:513:63:513:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:513:64:513:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:514:33:514:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:514:59:514:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:514:69:514:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:514:70:514:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:515:28:515:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:515:54:515:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:515:59:515:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:515:60:515:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:527:31:527:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:527:78:527:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:528:30:528:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:528:78:528:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:538:21:538:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:538:35:538:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:1:540:108: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:27:540:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:66:540:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:67:540:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:68:540:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:69:540:107: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:540:108:540:108: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:541:4:541:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:541:5:541:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:542:11:542:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:542:50:542:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:543:4:543:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:546:21:546:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:546:35:546:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:1:548:96: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:27:548:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:60:548:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:61:548:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:62:548:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:63:548:95: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:548:96:548:96: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:549:4:549:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:549:5:549:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:550:11:550:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:550:44:550:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:551:4:551:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:555:11:555:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:555:21:555:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:555:36:555:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:555:37:555:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:560:21:560:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:560:36:560:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:562:17:562:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:562:32:562:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:564:16:564:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:564:31:564:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:566:39:566:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:572:39:572:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:572:65:572:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:575:38:575:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:576:13:576:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:577:51:577:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:577:66:577:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:579:14:579:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:579:15:579:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:579:25:579:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:579:60:579:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:581:15:581:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:581:16:581:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:581:23:581:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:583:20:583:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:583:41:583:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:587:4:587:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:595:1:595:86: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:595:22:595:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:595:48:595:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:596:7:596:23: w202 deprecated control sequences
texmf-dist/tex/latex/nwejm/nwejmart.cls:597:25:597:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:598:19:598:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:602:37:602:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:603:41:603:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:605:21:605:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:605:47:605:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:605:48:605:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:605:49:605:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:605:76:605:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:606:21:606:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:606:47:606:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:606:48:606:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:606:49:606:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:606:76:606:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:607:21:607:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:607:45:607:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:607:49:607:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:607:73:607:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:613:34:613:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:617:1:617:89: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:618:26:618:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:619:17:619:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:619:29:619:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:619:30:619:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:619:51:619:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:619:52:619:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:620:4:620:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:1:622:81: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:17:622:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:29:622:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:30:622:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:80:622:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:622:81:622:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:630:1:630:84: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:634:49:634:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:636:31:636:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:636:32:636:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:636:59:636:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:638:1:638:104: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:638:82:638:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:638:104:638:104: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:639:24:639:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:639:55:639:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:639:60:639:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:639:61:639:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:1:641:86: s103 line too long
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:17:641:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:34:641:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:35:641:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:48:641:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:52:641:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:53:641:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:54:641:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:85:641:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:641:86:641:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:642:5:642:5: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:19:643:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:20:643:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:28:643:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:29:643:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:30:643:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:643:63:643:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:646:2:646:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:648:15:648:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:648:19:648:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:648:20:648:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:651:26:651:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:26:652:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:45:652:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:54:652:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:55:652:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:56:652:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:64:652:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:65:652:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:652:66:652:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:653:26:653:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:653:45:653:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:653:54:653:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:653:55:653:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:654:6:654:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:654:20:654:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:654:21:654:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:654:22:654:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:656:4:656:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:656:17:656:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:656:18:656:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:658:4:658:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:658:23:658:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:658:24:658:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:659:24:659:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:659:45:659:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:659:46:659:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:660:25:660:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:660:52:660:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:660:53:660:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:661:29:661:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:661:56:661:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:661:70:661:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:661:71:661:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:662:65:662:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:662:66:662:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:664:27:664:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:665:26:665:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:665:50:665:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:665:51:665:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:666:26:666:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:666:50:666:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:666:51:666:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:669:26:669:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:669:42:669:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:669:43:669:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:670:25:670:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:670:56:670:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:670:57:670:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:671:29:671:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:671:64:671:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:671:78:671:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:671:79:671:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:672:63:672:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:672:64:672:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:674:25:674:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:675:20:675:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:675:26:675:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:675:27:675:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:676:26:676:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:676:46:676:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:676:67:676:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:677:29:677:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:677:30:677:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:677:31:677:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:678:26:678:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:678:46:678:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:678:66:678:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:679:29:679:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:679:30:679:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:679:31:679:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:680:26:680:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:680:46:680:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:680:68:680:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:681:26:681:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:681:27:681:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:681:28:681:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:682:26:682:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:682:46:682:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:682:66:682:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nwejm/nwejmart.cls:683:28:683:28: s204 missing stylistic whitespaces
