texmf-dist/tex/latex/cnltx/cnltx-base.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/cnltx/cnltx-base.sty:322:65:322:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:327:58:327:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:328:29:328:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:328:30:328:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:331:60:331:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:332:28:332:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:335:54:335:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:336:61:336:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:336:65:336:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:339:61:339:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:340:52:340:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:340:56:340:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:340:60:340:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:343:62:343:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:345:35:345:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:345:39:345:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:345:43:345:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:348:79:348:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:349:35:349:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:349:39:349:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:349:40:349:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:350:66:350:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:350:70:350:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:354:36:354:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:354:37:354:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:355:49:355:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:356:43:356:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:356:44:356:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:356:45:356:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:356:73:356:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:357:43:357:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:357:44:357:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:357:45:357:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:357:71:357:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:358:43:358:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:358:44:358:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:358:45:358:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:358:67:358:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:359:43:359:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:359:44:359:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:359:45:359:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:359:74:359:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:360:43:360:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:360:44:360:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:360:45:360:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:360:75:360:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:361:1:361:81: s103 line too long
texmf-dist/tex/latex/cnltx/cnltx-base.sty:361:43:361:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:361:44:361:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:361:45:361:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:361:82:361:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:366:54:366:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:369:59:369:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:372:50:372:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:375:60:375:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:386:29:386:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:386:30:386:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:387:29:387:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:388:55:388:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:388:57:388:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:390:19:390:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:402:33:402:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:402:34:402:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:405:6:405:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:406:26:406:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:406:27:406:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:407:32:407:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:411:36:411:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:411:37:411:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:413:8:413:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:414:14:414:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:414:15:414:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:415:45:415:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:416:6:416:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:418:57:418:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:419:34:419:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:422:27:422:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:426:69:426:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:430:35:430:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:430:61:430:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:430:63:430:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:431:34:431:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:431:59:431:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:431:61:431:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:437:26:437:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:439:28:439:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:439:29:439:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:439:30:439:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:439:34:439:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:439:40:439:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:442:34:442:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:446:37:446:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:446:38:446:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:446:42:446:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:446:46:446:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:451:33:451:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:454:35:454:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:457:37:457:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:463:38:463:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:463:39:463:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:466:25:466:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:469:32:469:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:473:36:473:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:473:37:473:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:475:6:475:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:479:40:479:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:479:47:479:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:482:25:482:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:484:28:484:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:485:28:485:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:485:31:485:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:485:32:485:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:487:29:487:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:487:30:487:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:489:29:489:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:489:33:489:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:490:24:490:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:490:25:490:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:493:32:493:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:493:33:493:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:494:52:494:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:494:53:494:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:495:66:495:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:495:70:495:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:498:39:498:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:499:19:499:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:500:20:500:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:504:49:504:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:505:13:505:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:506:8:506:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:507:4:507:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:508:52:508:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:508:63:508:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:510:38:510:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:510:39:510:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:26:513:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:33:513:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:37:513:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:38:513:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:48:513:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:513:49:513:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:515:55:515:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:516:20:516:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:529:40:529:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:529:41:529:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:530:32:530:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:533:61:533:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:533:65:533:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:533:66:533:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:537:24:537:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:537:30:537:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:546:38:546:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:547:49:547:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:552:46:552:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:559:47:559:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:559:48:559:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:561:15:561:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:561:17:561:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:561:44:561:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:561:45:561:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:566:46:566:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:566:47:566:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:567:36:567:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:569:41:569:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:569:45:569:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:569:48:569:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:570:41:570:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:570:45:570:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:570:46:570:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:573:48:573:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:573:49:573:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:574:41:574:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:574:42:574:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:575:15:575:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:575:19:575:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:575:20:575:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:576:18:576:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:578:36:578:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:578:40:578:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:578:41:578:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:579:35:579:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:579:37:579:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:580:4:580:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:586:48:586:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:586:49:586:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:587:36:587:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:589:43:589:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:589:47:589:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:589:49:589:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:590:43:590:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:590:47:590:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:590:48:590:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:593:50:593:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:593:51:593:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:594:15:594:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:594:19:594:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:594:20:594:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:595:18:595:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:597:11:597:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:598:6:598:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:605:35:605:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:614:61:614:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:614:62:614:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:615:21:615:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:615:62:615:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:617:65:617:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:617:66:617:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:618:21:618:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:618:64:618:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:620:61:620:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:620:62:620:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:621:21:621:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:621:68:621:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:621:69:621:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:623:65:623:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:623:66:623:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:624:1:624:84: s103 line too long
texmf-dist/tex/latex/cnltx/cnltx-base.sty:624:21:624:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:624:83:624:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:624:84:624:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:633:49:633:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:633:50:633:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:634:12:634:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:634:30:634:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:639:51:639:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:639:52:639:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:640:14:640:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:642:53:642:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:644:4:644:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:645:10:645:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:645:28:645:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:645:35:645:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:650:43:650:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:650:44:650:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:652:55:652:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:653:7:653:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:655:6:655:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:657:46:657:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:659:7:659:7: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:660:40:660:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:660:44:660:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:663:45:663:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:663:46:663:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:666:55:666:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:666:56:666:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:669:6:669:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:671:46:671:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:672:6:672:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:673:40:673:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:673:44:673:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:676:47:676:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:676:48:676:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:677:36:677:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:677:38:677:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:677:39:677:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:678:42:678:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:678:44:678:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:678:45:678:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:679:44:679:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:679:48:679:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:680:6:680:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:681:4:681:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:684:47:684:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:684:48:684:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:685:40:685:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:685:44:685:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:697:37:697:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:698:45:698:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:700:36:700:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:712:36:712:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:727:40:727:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:728:15:728:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/cnltx/cnltx-base.sty:742:4:742:4: s204 missing stylistic whitespaces
