texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:579:27:579:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:579:37:579:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:579:47:579:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:580:27:580:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:580:40:580:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:580:47:580:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:581:27:581:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:581:34:581:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:581:43:581:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:582:27:582:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:582:36:582:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:582:47:582:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:583:27:583:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:583:34:583:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:583:44:583:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:584:27:584:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:584:34:584:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:584:42:584:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:584:59:584:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:585:27:585:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:585:35:585:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:585:43:585:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:586:27:586:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:586:38:586:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:586:46:586:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:587:27:587:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:587:38:587:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:587:46:587:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:591:37:591:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:603:19:603:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:610:13:610:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:610:39:610:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:623:1:623:98: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:624:21:624:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:625:1:625:108: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:625:74:625:97: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:626:1:626:104: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:626:70:626:93: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:626:104:626:104: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:632:1:632:87: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:632:35:632:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:632:38:632:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:632:82:632:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:637:25:637:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:638:42:638:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:651:1:651:128: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:651:37:651:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:651:40:651:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:651:91:651:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:654:35:654:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:656:13:656:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:662:34:662:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:662:39:662:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:666:32:666:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:668:38:668:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:676:29:676:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:676:34:676:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:676:56:676:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:676:70:676:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:676:71:676:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:677:30:677:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:677:35:677:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:677:57:677:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:677:71:677:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:677:72:677:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:1:678:127: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:31:678:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:36:678:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:58:678:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:72:678:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:73:678:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:103:678:103: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:117:678:117: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:678:118:678:118: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:1:679:127: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:31:679:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:36:679:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:58:679:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:72:679:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:73:679:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:104:679:104: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:118:679:118: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:679:119:679:119: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:1:680:139: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:33:680:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:38:680:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:60:680:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:74:680:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:75:680:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:115:680:115: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:129:680:129: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:680:130:680:130: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:681:38:681:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:681:41:681:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:681:44:681:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:681:47:681:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:682:26:682:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:682:30:682:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:1:684:99: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:15:684:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:35:684:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:47:684:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:56:684:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:78:684:78: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:684:90:684:90: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:690:39:690:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:690:44:690:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:691:31:691:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:691:36:691:36: s204 missing stylistic whitespaces
